fy,month,year,ministry,allocated,designated
2019-2020,Oct,2019,Gateway Seminary,296923.71,881.19
2019-2020,Oct,2019,Midwestern Seminary,535902.22,1428.07
2019-2020,Oct,2019,New Orleans Seminary,544270.08,1186.36
2019-2020,Oct,2019,Southeastern Seminary,579487.05,1867.16
2019-2020,Oct,2019,Southern Seminary,803691.49,3558.9
2019-2020,Oct,2019,Southwestern Seminary,573242.63,7588.93
2019-2020,Oct,2019,Historical Library and Archives,36498.37,49.44
2019-2020,Oct,2019,Ethics & Religious Liberty Comm,250926.25,686.15
2019-2020,Oct,2019,GuideStone Financial Resources,0.0,1806.97
2019-2020,Oct,2019,Executive Committee and SBC Operating,454708.77,34378.98
2019-2020,Oct,2019,Miscellaneous,0.0,0.0
2019-2020,Nov,2019,International Mission Board,8753013.49,2665965.31
2019-2020,Nov,2019,North American Mission Board,3957174.72,1255964.37
2019-2020,Nov,2019,Gateway Seminary,339018.68,4746.83
2019-2020,Nov,2019,Midwestern Seminary,611877.27,7525.17
2019-2020,Nov,2019,New Orleans Seminary,621431.42,8117.93
2019-2020,Nov,2019,Southeastern Seminary,661641.12,9601.01
2019-2020,Nov,2019,Southern Seminary,917631.09,12696.01
2019-2020,Nov,2019,Southwestern Seminary,654511.43,8900.66
2019-2020,Nov,2019,Historical Library and Archives,41672.75,479.4
2019-2020,Nov,2019,Ethics & Religious Liberty Comm,286500.14,434.93
2019-2020,Nov,2019,GuideStone Financial Resources,0.0,2987.71
2019-2020,Nov,2019,Executive Committee and SBC Operating,519172.98,26778.83
2019-2020,Nov,2019,Miscellaneous,0.0,0.0
2019-2020,Dec,2019,International Mission Board,7531262.24,2520414.12
2019-2020,Dec,2019,North American Mission Board,3404829.73,819682.97
2019-2020,Dec,2019,Gateway Seminary,291698.24,1277.13
2019-2020,Dec,2019,Midwestern Seminary,526471.05,1776.49
2019-2020,Dec,2019,New Orleans Seminary,534691.62,2024.7
2019-2020,Dec,2019,Southeastern Seminary,569288.83,4736.98
2019-2020,Dec,2019,Southern Seminary,789547.56,3783.08
2019-2020,Dec,2019,Southwestern Seminary,563154.29,8786.08
2019-2020,Dec,2019,Historical Library and Archives,35856.04,112.14
2019-2020,Dec,2019,Ethics & Religious Liberty Comm,246510.28,559.8
2019-2020,Dec,2019,GuideStone Financial Resources,0.0,4560.33
2019-2020,Dec,2019,Executive Committee and SBC Operating,446706.49,45639.42
2019-2020,Dec,2019,Miscellaneous,0.0,0.0
2019-2020,Jan,2020,International Mission Board,9551924.61,20786750.58
2019-2020,Jan,2020,North American Mission Board,4318356.71,2419206.73
2019-2020,Jan,2020,Gateway Seminary,369961.82,2197.78
2019-2020,Jan,2020,Midwestern Seminary,667724.96,3674.71
2019-2020,Jan,2020,New Orleans Seminary,678151.15,3510.32
2019-2020,Jan,2020,Southeastern Seminary,722030.89,5206.0
2019-2020,Jan,2020,Southern Seminary,1001385.76,6504.74
2019-2020,Jan,2020,Southwestern Seminary,714250.44,4479.74
2019-2020,Jan,2020,Historical Library and Archives,45476.34,148.46
2019-2020,Jan,2020,Ethics & Religious Liberty Comm,312649.79,1226.98
2019-2020,Jan,2020,GuideStone Financial Resources,0.0,5162.63
2019-2020,Jan,2020,Executive Committee and SBC Operating,566559.32,41613.22
2019-2020,Jan,2020,Miscellaneous,0.0,0.0
2019-2020,Feb,2020,International Mission Board,9844690.77,53159735.58
2019-2020,Feb,2020,North American Mission Board,4450714.2,2856648.16
2019-2020,Feb,2020,Gateway Seminary,381301.14,1711.96
2019-2020,Feb,2020,Midwestern Seminary,688190.7,2367.58
2019-2020,Feb,2020,New Orleans Seminary,698936.45,2658.45
2019-2020,Feb,2020,Southeastern Seminary,744161.1,3135.41
2019-2020,Feb,2020,Southern Seminary,1032078.19,3656.62
2019-2020,Feb,2020,Southwestern Seminary,736142.19,3602.32
2019-2020,Feb,2020,Historical Library and Archives,46870.19,89.51
2019-2020,Feb,2020,Ethics & Religious Liberty Comm,322232.48,269.79
2019-2020,Feb,2020,GuideStone Financial Resources,0.0,6101.15
2019-2020,Feb,2020,Executive Committee and SBC Operating,583924.32,137699.2
2019-2020,Feb,2020,Miscellaneous,0.0,0.0
2019-2020,Mar,2020,International Mission Board,7636943.6,23744060.71
2019-2020,Mar,2020,North American Mission Board,3452607.52,1415999.92
2019-2020,Mar,2020,Gateway Seminary,295791.44,1081.01
2019-2020,Mar,2020,Midwestern Seminary,533858.68,1401.72
2019-2020,Mar,2020,New Orleans Seminary,542194.62,1526.53
2019-2020,Mar,2020,Southeastern Seminary,577277.29,2148.94
2019-2020,Mar,2020,Southern Seminary,800626.76,2569.46
2019-2020,Mar,2020,Southwestern Seminary,571056.69,2097.75
2019-2020,Mar,2020,Historical Library and Archives,36359.18,44.26
2019-2020,Mar,2020,Ethics & Religious Liberty Comm,249969.4,720.32
2019-2020,Mar,2020,GuideStone Financial Resources,0.0,1991.38
2019-2020,Mar,2020,Executive Committee and SBC Operating,452974.83,45189.61
2019-2020,Mar,2020,Miscellaneous,0.0,0.0
2019-2020,Apr,2020,International Mission Board,7140992.35,7516449.05
2019-2020,Apr,2020,North American Mission Board,3228391.5,2241853.57
2019-2020,Apr,2020,Gateway Seminary,276582.43,1346.01
2019-2020,Apr,2020,Midwestern Seminary,499189.33,1729.09
2019-2020,Apr,2020,New Orleans Seminary,506983.91,1933.13
2019-2020,Apr,2020,Southeastern Seminary,539788.3,2597.17
2019-2020,Apr,2020,Southern Seminary,748633.21,2694.3
2019-2020,Apr,2020,Southwestern Seminary,533971.65,10878.7
2019-2020,Apr,2020,Historical Library and Archives,33997.98,83.36
2019-2020,Apr,2020,Ethics & Religious Liberty Comm,233736.11,375.18
2019-2020,Apr,2020,GuideStone Financial Resources,0.0,1217.31
2019-2020,Apr,2020,SBC Executive Committee and SBC Operating,423558.16,375293.97
2019-2020,Apr,2020,Miscellaneous,0.0,0.0
2019-2020,May,2020,International Mission Board,7461861.62,5058491.68
2019-2020,May,2020,North American Mission Board,3373454.2,8154512.84
2019-2020,May,2020,Gateway Seminary,289010.23,1340.8
2019-2020,May,2020,Midwestern Seminary,521619.61,2131.86
2019-2020,May,2020,New Orleans Seminary,529764.44,2259.84
2019-2020,May,2020,Southeastern Seminary,564042.83,3579.17
2019-2020,May,2020,Southern Seminary,782271.87,3999.7
2019-2020,May,2020,Southwestern Seminary,557964.83,2493.71
2019-2020,May,2020,Historical Library and Archives,35525.63,70.71
2019-2020,May,2020,Ethics & Religious Liberty Comm,244238.68,1432.54
2019-2020,May,2020,GuideStone Financial Resources,0.0,1639.64
2019-2020,May,2020,SBC Executive Committee and SBC Operating,442590.08,34180.51
2019-2020,May,2020,Miscellaneous,0.0,0.0
2019-2020,Jun,2020,International Mission Board,7615187.05,3377863.34
2019-2020,Jun,2020,North American Mission Board,3442771.53,11052305.72
2019-2020,Jun,2020,Gateway Seminary,294948.77,1134.16
2019-2020,Jun,2020,Midwestern Seminary,532337.78,1472.3
2019-2020,Jun,2020,New Orleans Seminary,540649.99,1586.81
2019-2020,Jun,2020,Southeastern Seminary,575632.71,2109.09
2019-2020,Jun,2020,Southern Seminary,798345.9,3330.23
2019-2020,Jun,2020,Southwestern Seminary,569429.82,7189.06
2019-2020,Jun,2020,Historical Library and Archives,36255.6,68.16
2019-2020,Jun,2020,Ethics & Religious Liberty Comm,249257.27,465.45
2019-2020,Jun,2020,GuideStone Financial Resources,0.0,1134.44
2019-2020,Jun,2020,SBC Executive Committee and SBC Operating,451684.37,26743.55
2019-2020,Jun,2020,Miscellaneous,0.0,0.0
2019-2020,Jul,2020,International Mission Board,8461608.83,2251823.17
2019-2020,Jul,2020,North American Mission Board,3825432.77,7180096.14
2019-2020,Jul,2020,Gateway Seminary,327732.09,1593.78
2019-2020,Jul,2020,Midwestern Seminary,591506.71,1889.98
2019-2020,Jul,2020,New Orleans Seminary,600742.78,2250.1
2019-2020,Jul,2020,Southeastern Seminary,639613.81,3689.48
2019-2020,Jul,2020,Southern Seminary,887081.39,4262.57
2019-2020,Jul,2020,Southwestern Seminary,632721.47,3277.5
2019-2020,Jul,2020,Historical Library and Archives,40285.38,79.54
2019-2020,Jul,2020,Ethics & Religious Liberty Comm,276962.01,1719.9
2019-2020,Jul,2020,GuideStone Financial Resources,0.0,1163.49
2019-2020,Jul,2020,SBC Executive Committee and SBC Operating,501888.73,38122.42
2019-2020,Jul,2020,Miscellaneous,0.0,0.0
2019-2020,Aug,2020,International Mission Board,8105226.81,2391096.13
2019-2020,Aug,2020,North American Mission Board,3664315.0,3731644.23
2019-2020,Aug,2020,Gateway Seminary,313928.83,1446.01
2019-2020,Aug,2020,Midwestern Seminary,566593.9,1824.72
2019-2020,Aug,2020,New Orleans Seminary,575440.98,2031.11
2019-2020,Aug,2020,Southeastern Seminary,612674.87,2431.75
2019-2020,Aug,2020,Southern Seminary,849719.72,3701.08
2019-2020,Aug,2020,Southwestern Seminary,606072.82,2268.93
2019-2020,Aug,2020,Historical Library and Archives,38588.67,85.3
2019-2020,Aug,2020,Ethics & Religious Liberty Comm,265297.04,481.17
2019-2020,Aug,2020,GuideStone Financial Resources,0.0,3260.52
2019-2020,Aug,2020,SBC Executive Committee and SBC Operating,480750.41,33006.52
2019-2020,Aug,2020,Miscellaneous,0.0,0.0
2019-2020,Sep,2020,International Mission Board,7472430.54,2347398.31
2019-2020,Sep,2020,North American Mission Board,3378232.35,2309460.31
2019-2020,Sep,2020,Gateway Seminary,289498.93,1412.33
2019-2020,Sep,2020,Midwestern Seminary,522062.24,1781.74
2019-2020,Sep,2020,New Orleans Seminary,530583.23,1832.59
2019-2020,Sep,2020,Southeastern Seminary,564949.99,2520.42
2019-2020,Sep,2020,Southern Seminary,783324.76,3577.7
2019-2020,Sep,2020,Southwestern Seminary,558850.42,7789.94
2019-2020,Sep,2020,Historical Library and Archives,35575.95,76.22
2019-2020,Sep,2020,Ethics & Religious Liberty Comm,244584.61,707.45
2019-2020,Sep,2020,GuideStone Financial Resources,0.0,1339.06
2019-2020,Sep,2020,SBC Executive Committee and SBC Operating,443216.97,33385.38
2019-2020,Sep,2020,Miscellaneous,0.0,0.0
2018-2019,Oct,2018,International Mission Board,7286582.68,2139446.32
2018-2019,Oct,2018,North American Mission Board,3294211.85,1166787.32
2018-2019,Oct,2018,Gateway Seminary,291451.24,778.05
2018-2019,Oct,2018,Midwestern Seminary,467151.16,1579.48
2018-2019,Oct,2018,New Orleans Seminary,524940.43,1072.68
2018-2019,Oct,2018,Southeastern Seminary,563121.08,1639.99
2018-2019,Oct,2018,Southern Seminary,760537.38,2275.43
2018-2019,Oct,2018,Southwestern Seminary,561255.23,1892.19
2018-2019,Oct,2018,Historical Library and Archives,34691.14,48.7
2018-2019,Oct,2018,Ethics & Religious Liberty Comm,238501.52,291.78
2018-2019,Oct,2018,GuideStone Financial Resources,0.0,1764.72
