fy,month,year,ministry,allocated,designated
2013-2014,Apr,2014,Midwestern Seminary,360041.26,3843.51
2013-2014,Apr,2014,Historical Library and Archives,35450.93,78.32
2013-2014,Apr,2014,Ethics & Religious Liberty Comm,243725.18,940.8
2013-2014,Apr,2014,GuideStone Financial Resources,0.0,1086.85
2013-2014,Apr,2014,SBC Operating,441659.55,88751.19
2013-2014,Apr,2014,Miscellaneous,0.0,0.0
2013-2014,May,2014,International Mission Board,8462961.95,4893395.53
2013-2014,May,2014,North American Mission Board,3826044.48,12330395.44
2013-2014,May,2014,Southwestern Seminary,771167.54,2890.08
2013-2014,May,2014,Southern Seminary,806242.21,3614.98
2013-2014,May,2014,New Orleans Seminary,638474.02,1974.15
2013-2014,May,2014,Southeastern Seminary,702360.13,1668.36
2013-2014,May,2014,Golden Gate Seminary,352537.15,1541.01
2013-2014,May,2014,Midwestern Seminary,409205.55,1549.73
2013-2014,May,2014,Historical Library and Archives,40291.82,54.34
2013-2014,May,2014,Ethics & Religious Liberty Comm,277006.3,766.08
2013-2014,May,2014,GuideStone Financial Resources,0.0,1481.46
2013-2014,May,2014,SBC Operating,501968.97,110187.85
2013-2014,May,2014,Miscellaneous,0.0,0.0
2013-2014,Jun,2014,International Mission Board,7753027.01,4206660.02
2013-2014,Jun,2014,North American Mission Board,3505087.98,20961064.41
2013-2014,Jun,2014,Southwestern Seminary,706476.39,3409.04
2013-2014,Jun,2014,Southern Seminary,738608.74,4715.39
2013-2014,Jun,2014,New Orleans Seminary,584914.15,2778.53
2013-2014,Jun,2014,Southeastern Seminary,643441.06,3682.33
2013-2014,Jun,2014,Golden Gate Seminary,322963.77,2596.53
2013-2014,Jun,2014,Midwestern Seminary,374878.41,2614.47
2013-2014,Jun,2014,Historical Library and Archives,36911.85,49.76
2013-2014,Jun,2014,Ethics & Religious Liberty Comm,253768.98,677.8
2013-2014,Jun,2014,GuideStone Financial Resources,0.0,3067.55
2013-2014,Jun,2014,SBC Operating,459860.16,87530.95
2013-2014,Jun,2014,Miscellaneous,0.0,0.0
2013-2014,Jul,2014,International Mission Board,6359747.76,3387343.23
2013-2014,Jul,2014,North American Mission Board,2875196.41,7604112.37
2013-2014,Jul,2014,Southwestern Seminary,579517.08,3379.69
2013-2014,Jul,2014,Southern Seminary,605875.01,4414.76
2013-2014,Jul,2014,New Orleans Seminary,479800.53,2320.77
2013-2014,Jul,2014,Southeastern Seminary,527809.7,1582.46
2013-2014,Jul,2014,Golden Gate Seminary,264924.67,2037.49
2013-2014,Jul,2014,Midwestern Seminary,307509.84,2012.4
2013-2014,Jul,2014,Historical Library and Archives,30278.5,76.54
2013-2014,Jul,2014,Ethics & Religious Liberty Comm,208164.72,1117.52
2013-2014,Jul,2014,GuideStone Financial Resources,0.0,1575.35
2013-2014,Jul,2014,SBC Operating,377219.7,81609.27
2013-2014,Jul,2014,Miscellaneous,0.0,0.0
2013-2014,Aug,2014,International Mission Board,9037203.41,2540271.5
2013-2014,Aug,2014,North American Mission Board,4085654.94,3308757.54
2013-2014,Aug,2014,Southwestern Seminary,823493.95,2716.59
2013-2014,Aug,2014,Southern Seminary,860948.55,2726.09
2013-2014,Aug,2014,New Orleans Seminary,681796.7,1855.29
2013-2014,Aug,2014,Southeastern Seminary,750017.73,1876.57
2013-2014,Aug,2014,Golden Gate Seminary,376458.02,1829.61
2013-2014,Aug,2014,Midwestern Seminary,436971.58,1896.88
2013-2014,Aug,2014,Historical Library and Archives,43025.76,69.32
2013-2014,Aug,2014,Ethics & Religious Liberty Comm,295802.14,852.54
2013-2014,Aug,2014,GuideStone Financial Resources,0.0,2215.15
2013-2014,Aug,2014,SBC Operating,536029.32,78861.69
2013-2014,Aug,2014,Miscellaneous,0.0,0.0
2013-2014,Sep,2014,International Mission Board,7423234.96,2524731.55
2013-2014,Sep,2014,North American Mission Board,3355991.36,2172877.95
2013-2014,Sep,2014,Southwestern Seminary,676424.86,10530.09
2013-2014,Sep,2014,Southern Seminary,707190.41,13190.3
2013-2014,Sep,2014,New Orleans Seminary,560033.55,8179.46
2013-2014,Sep,2014,Southeastern Seminary,616070.87,8748.56
2013-2014,Sep,2014,Golden Gate Seminary,309225.79,5151.3
2013-2014,Sep,2014,Midwestern Seminary,358932.12,5750.29
2013-2014,Sep,2014,Historical Library and Archives,35341.72,480.39
2013-2014,Sep,2014,Ethics & Religious Liberty Comm,242974.36,3191.25
2013-2014,Sep,2014,GuideStone Financial Resources,0.0,2230.47
2013-2014,Sep,2014,SBC Operating,440299.01,-485927.51
2013-2014,Sep,2014,Miscellaneous,0.0,0.0
2012-2013,Oct,2012,International Mission Board,6828354.9,1928824.57
2012-2013,Oct,2012,North American Mission Board,3099964.32,1060322.84
2012-2013,Oct,2012,Southwestern Seminary,651700.69,3597.42
2012-2013,Oct,2012,Southern Seminary,648400.05,2993.96
2012-2013,Oct,2012,New Orleans Seminary,527296.81,1829.12
2012-2013,Oct,2012,Southeastern Seminary,557366.35,2050.48
2012-2013,Oct,2012,Golden Gate Seminary,290906.76,1842.99
2012-2013,Oct,2012,Midwestern Seminary,305953.66,1873.33
2012-2013,Oct,2012,Historical Library and Archives,32645.52,64.6
2012-2013,Oct,2012,Ethics & Religious Liberty Comm,224437.96,853.9
2012-2013,Oct,2012,GuideStone Financial Resources,0.0,1845.26
2012-2013,Oct,2012,SBC Operating,435273.62,50909.32
2012-2013,Oct,2012,Miscellaneous,0.0,0.0
2012-2013,Nov,2012,International Mission Board,8525827.94,2513577.69
2012-2013,Nov,2012,North American Mission Board,3870590.03,1133507.46
2012-2013,Nov,2012,Southwestern Seminary,813708.15,3362.39
2012-2013,Nov,2012,Southern Seminary,809586.98,4470.49
2012-2013,Nov,2012,New Orleans Seminary,658378.46,2414.93
2012-2013,Nov,2012,Southeastern Seminary,695923.06,2456.28
2012-2013,Nov,2012,Golden Gate Seminary,363223.8,2465.21
2012-2013,Nov,2012,Midwestern Seminary,382011.23,2487.79
2012-2013,Nov,2012,Historical Library and Archives,40760.93,44.44
2012-2013,Nov,2012,Ethics & Religious Liberty Comm,280231.4,686.16
2012-2013,Nov,2012,GuideStone Financial Resources,0.0,2083.11
2012-2013,Nov,2012,SBC Operating,543479.06,40769.19
2012-2013,Nov,2012,Miscellaneous,0.0,0.0
2012-2013,Dec,2012,International Mission Board,7245736.09,3348837.6
2012-2013,Dec,2012,North American Mission Board,3289448.72,1033274.74
2012-2013,Dec,2012,Southwestern Seminary,691535.71,3291.26
2012-2013,Dec,2012,Southern Seminary,688033.31,10811.68
2012-2013,Dec,2012,New Orleans Seminary,559527.65,1744.41
2012-2013,Dec,2012,Southeastern Seminary,591435.21,2374.25
2012-2013,Dec,2012,Golden Gate Seminary,308688.35,1256.01
2012-2013,Dec,2012,Midwestern Seminary,324654.98,1279.65
2012-2013,Dec,2012,Historical Library and Archives,34640.97,49.9
2012-2013,Dec,2012,Ethics & Religious Liberty Comm,238156.66,704.44
2012-2013,Dec,2012,GuideStone Financial Resources,0.0,1049.16
2012-2013,Dec,2012,SBC Operating,461879.6,23098.12
2012-2013,Dec,2012,Miscellaneous,0.0,0.0
2012-2013,Jan,2013,International Mission Board,9206506.56,26196990.34
2012-2013,Jan,2013,North American Mission Board,4179607.25,2023903.45
2012-2013,Jan,2013,Southwestern Seminary,878672.35,3590.04
2012-2013,Jan,2013,Southern Seminary,874222.17,2902.24
2012-2013,Jan,2013,New Orleans Seminary,710941.58,2099.29
2012-2013,Jan,2013,Southeastern Seminary,751483.63,1975.96
2012-2013,Jan,2013,Golden Gate Seminary,392222.59,1831.51
2012-2013,Jan,2013,Midwestern Seminary,412509.95,1841.48
2012-2013,Jan,2013,Historical Library and Archives,44015.17,52.58
2012-2013,Jan,2013,Ethics & Religious Liberty Comm,302604.3,440.19
2012-2013,Jan,2013,GuideStone Financial Resources,0.0,5868.2
2012-2013,Jan,2013,SBC Operating,586868.94,276676.06
2012-2013,Jan,2013,Miscellaneous,0.0,0.0
2012-2013,Feb,2013,International Mission Board,8756092.7,50312213.58
2012-2013,Feb,2013,North American Mission Board,3975126.54,2424427.1
2012-2013,Feb,2013,Southwestern Seminary,835684.69,2863.95
2012-2013,Feb,2013,Southern Seminary,831452.22,2398.69
2012-2013,Feb,2013,New Orleans Seminary,676159.87,2254.42
2012-2013,Feb,2013,Southeastern Seminary,714718.48,2348.24
2012-2013,Feb,2013,Golden Gate Seminary,373033.71,2058.03
2012-2013,Feb,2013,Midwestern Seminary,392328.54,2067.02
2012-2013,Feb,2013,Historical Library and Archives,41861.79,98.52
2012-2013,Feb,2013,Ethics & Religious Liberty Comm,287799.86,947.24
2012-2013,Feb,2013,GuideStone Financial Resources,0.0,3502.52
2012-2013,Feb,2013,SBC Operating,558157.3,53815.31
2012-2013,Feb,2013,Miscellaneous,0.0,0.0
2012-2013,Mar,2013,International Mission Board,7304213.31,24973266.72
2012-2013,Mar,2013,North American Mission Board,3315996.45,1348983.93
2012-2013,Mar,2013,Southwestern Seminary,697116.8,2638.06
2012-2013,Mar,2013,Southern Seminary,693586.12,7109.56
2012-2013,Mar,2013,New Orleans Seminary,564043.37,2025.2
2012-2013,Mar,2013,Southeastern Seminary,596208.42,4762.72
2012-2013,Mar,2013,Golden Gate Seminary,311179.64,1147.34
2012-2013,Mar,2013,Midwestern Seminary,327275.13,1197.6
2012-2013,Mar,2013,Historical Library and Archives,34920.54,43.04
2012-2013,Mar,2013,Ethics & Religious Liberty Comm,240078.74,1086.95
2012-2013,Mar,2013,GuideStone Financial Resources,0.0,1116.36
2012-2013,Mar,2013,SBC Operating,465607.22,50570.02
2012-2013,Mar,2013,Miscellaneous,0.0,0.0
2012-2013,Apr,2013,International Mission Board,7234770.45,9554787.16
2012-2013,Apr,2013,North American Mission Board,3284470.51,4498715.48
2012-2013,Apr,2013,Southwestern Seminary,690489.14,3063.94
2012-2013,Apr,2013,Southern Seminary,686992.04,5783.79
2012-2013,Apr,2013,New Orleans Seminary,558680.88,2222.81
2012-2013,Apr,2013,Southeastern Seminary,590540.13,1847.89
2012-2013,Apr,2013,Golden Gate Seminary,308221.19,1520.06
2012-2013,Apr,2013,Midwestern Seminary,324163.66,1546.21
2012-2013,Apr,2013,Historical Library and Archives,34588.55,60.55
2012-2013,Apr,2013,Ethics & Religious Liberty Comm,237796.24,682.13
2012-2013,Apr,2013,GuideStone Financial Resources,0.0,1783.6
2012-2013,Apr,2013,SBC Operating,461180.6,58262.03
2012-2013,Apr,2013,Miscellaneous,0.0,0.0
2012-2013,May,2013,International Mission Board,8553148.57,4525894.05
2012-2013,May,2013,North American Mission Board,3882993.14,22168567.63
2012-2013,May,2013,Southwestern Seminary,816315.63,5219.83
2012-2013,May,2013,Southern Seminary,812181.26,7196.21
2012-2013,May,2013,New Orleans Seminary,660488.2,4691.66
2012-2013,May,2013,Southeastern Seminary,698153.11,4156.31
2012-2013,May,2013,Golden Gate Seminary,364387.73,4331.46
2012-2013,May,2013,Midwestern Seminary,383235.36,4346.98
2012-2013,May,2013,Historical Library and Archives,40891.54,61.5
2012-2013,May,2013,Ethics & Religious Liberty Comm,281129.39,815.1
2012-2013,May,2013,GuideStone Financial Resources,0.0,4962.39
2012-2013,May,2013,SBC Operating,545220.64,52909.66
2012-2013,May,2013,Miscellaneous,0.0,0.0
2012-2013,Jun,2013,International Mission Board,7667076.25,4084017.07
2012-2013,Jun,2013,North American Mission Board,3480730.43,12746230.52
2012-2013,Jun,2013,Southwestern Seminary,731748.57,2783.25
2012-2013,Jun,2013,Southern Seminary,728042.49,2074.69
2012-2013,Jun,2013,New Orleans Seminary,592064.23,2278.82
2012-2013,Jun,2013,Southeastern Seminary,625827.21,2125.96
2012-2013,Jun,2013,Golden Gate Seminary,326638.61,1634.06
2012-2013,Jun,2013,Midwestern Seminary,343533.69,1647.78
2012-2013,Jun,2013,Historical Library and Archives,36655.34,40.55
2012-2013,Jun,2013,Ethics & Religious Liberty Comm,252005.49,557.09
2012-2013,Jun,2013,GuideStone Financial Resources,0.0,646.19
2012-2013,Jun,2013,SBC Operating,488737.93,37068.05
2012-2013,Jun,2013,Miscellaneous,0.0,0.0
2012-2013,Jul,2013,International Mission Board,7123234.93,1999410.66
2012-2013,Jul,2013,North American Mission Board,3233835.14,5285679.23
2012-2013,Jul,2013,Southwestern Seminary,679844.13,3899.09
2012-2013,Jul,2013,Southern Seminary,676400.95,3581.7
2012-2013,Jul,2013,New Orleans Seminary,550067.91,2790.14
2012-2013,Jul,2013,Southeastern Seminary,581436.02,2456.58
2012-2013,Jul,2013,Golden Gate Seminary,303469.46,2334.55
2012-2013,Jul,2013,Midwestern Seminary,319166.16,2334.66
2012-2013,Jul,2013,Historical Library and Archives,34055.31,79.66
2012-2013,Jul,2013,Ethics & Religious Liberty Comm,234130.23,992.32
2012-2013,Jul,2013,GuideStone Financial Resources,0.0,1876.62
2012-2013,Jul,2013,SBC Operating,454070.75,53437.48
2012-2013,Jul,2013,Miscellaneous,0.0,0.0
2012-2013,Aug,2013,International Mission Board,8198759.05,2344958.38
2012-2013,Aug,2013,North American Mission Board,3722105.95,2195478.37
2012-2013,Aug,2013,Southwestern Seminary,782492.56,2869.86
2012-2013,Aug,2013,Southern Seminary,778529.49,2376.95
2012-2013,Aug,2013,New Orleans Seminary,633121.67,2225.12
2012-2013,Aug,2013,Southeastern Seminary,669225.96,1663.99
2012-2013,Aug,2013,Golden Gate Seminary,349289.76,1311.51
2012-2013,Aug,2013,Midwestern Seminary,367356.46,1337.35
2012-2013,Aug,2013,Historical Library and Archives,39197.24,53.23
2012-2013,Aug,2013,Ethics & Religious Liberty Comm,269481.11,736.18
2012-2013,Aug,2013,GuideStone Financial Resources,0.0,3963.52
2012-2013,Aug,2013,SBC Operating,522630.06,40520.91
2012-2013,Aug,2013,Miscellaneous,0.0,0.0
2012-2013,Sep,2013,International Mission Board,7732929.81,2472656.54
2012-2013,Sep,2013,North American Mission Board,3510622.27,1900589.06
2012-2013,Sep,2013,Southwestern Seminary,738032.54,3571.9
2012-2013,Sep,2013,Southern Seminary,734294.82,5506.58
2012-2013,Sep,2013,New Orleans Seminary,597148.82,2995.49
2012-2013,Sep,2013,Southeastern Seminary,631201.72,2980.42
2012-2013,Sep,2013,Golden Gate Seminary,329443.73,2373.75
2012-2013,Sep,2013,Midwestern Seminary,346483.91,2389.19
2012-2013,Sep,2013,Historical Library and Archives,36970.14,41.82
2012-2013,Sep,2013,Ethics & Religious Liberty Comm,254169.67,811.04
2012-2013,Sep,2013,GuideStone Financial Resources,0.0,1023.82
2012-2013,Sep,2013,SBC Operating,492924.91,46228.08
2012-2013,Sep,2013,Miscellaneous,0.0,0.0
