fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Jan,2013,South Carolina,916289.35,1181484.21,990812.0,115274.47,75397.74
2012-2013,Jan,2013,Tennessee,1169513.26,916977.43,773059.94,75390.88,68526.61
2012-2013,Jan,2013,Texas - BGCT,1050284.1,586649.45,481841.78,65667.05,39140.62
2012-2013,Jan,2013,Texas - SBTC,1140862.42,1271870.22,1046677.61,178822.24,46370.37
2012-2013,Jan,2013,Utah - Idaho,0.0,0.0,0.0,0.0,0.0
2012-2013,Jan,2013,Virginia - BGAV,315951.43,1187006.21,1107131.92,59776.74,20097.55
2012-2013,Jan,2013,Virginia - SBCV,448317.75,1572114.88,1534806.68,22543.61,14764.59
2012-2013,Jan,2013,West Virginia,50645.06,108863.41,96780.94,9899.01,2183.46
2012-2013,Jan,2013,Wyoming,8020.21,1022.17,918.74,37.18,66.25
2012-2013,Jan,2013,Churches & Individuals,322744.14,959741.81,515765.55,42591.82,401384.44
2012-2013,Feb,2013,Alabama,1942100.57,6038588.94,5511077.4,280936.52,246575.02
2012-2013,Feb,2013,Alaska,18189.09,47500.56,47500.56,0.0,0.0
2012-2013,Feb,2013,Arizona,92568.24,321771.62,312284.32,8006.68,1480.62
2012-2013,Feb,2013,Arkansas,924764.32,2316762.77,2112633.94,155916.62,48212.21
2012-2013,Feb,2013,California,218239.19,867404.12,847971.64,13773.67,5658.81
2012-2013,Feb,2013,Colorado,28732.02,193776.95,171555.98,22220.97,0.0
2012-2013,Feb,2013,Dakota,6366.97,43385.06,43034.06,75.0,276.0
2012-2013,Feb,2013,D. C.,4246.48,2980.0,2980.0,0.0,0.0
2012-2013,Feb,2013,Florida,1063666.67,3105521.63,2937047.41,88335.5,80138.72
2012-2013,Feb,2013,Georgia,800850.65,2268968.05,2037892.94,155406.67,75668.44
2012-2013,Feb,2013,Hawaii Pacific,36058.89,76549.0,71081.0,366.0,5102.0
2012-2013,Feb,2013,Illinois,242641.99,508579.44,470858.9,26254.1,11466.44
2012-2013,Feb,2013,Indiana,78309.2,126145.94,106820.95,17512.84,1812.15
2012-2013,Feb,2013,Iowa,9617.13,47012.52,46437.21,285.31,290.0
2012-2013,Feb,2013,Kansas-Nebraska,41645.65,171753.82,142573.5,28002.56,1177.76
2012-2013,Feb,2013,Kentucky,1072471.72,3294812.31,3064079.76,159514.4,71218.15
2012-2013,Feb,2013,Louisiana,1107068.29,1530220.13,1409176.26,108609.93,12433.94
2012-2013,Feb,2013,Maryland-Delaware,175351.81,332077.94,316985.86,5628.76,9463.32
2012-2013,Feb,2013,Michigan,20957.54,25357.51,0.0,0.0,25357.51
2012-2013,Feb,2013,Minnesota-Wisconsin,5869.41,51191.69,47630.72,425.0,3135.97
2012-2013,Feb,2013,Mississippi,976606.99,5017550.07,4877698.52,107951.5,31900.05
2012-2013,Feb,2013,Missouri,525543.68,1948087.29,1833511.27,73100.79,41475.23
